year,PM25_Emissions,Region,sector,subsector,activity,capacity,longitude,latitude
2024,0.51722,Castelnou power station,power,electricity-generation,119906.7,773.0,-0.2928,41.2167
2024,0.5129,Michelin Valladolid power station,power,electricity-generation,85237.0,46.0,-4.7161,41.6753
2024,0.5103,Motril Mill power station,power,electricity-generation,88909.0,49.18,-3.5424,36.7316
2024,0.4872,Cotesa power station,power,electricity-generation,74113.0,38.0,-16.2781,28.454
2024,0.4872,Genfibre cogeneration power station,power,electricity-generation,86150.0,48.0,-2.927,42.681
2024,0.4188,ADS JUNEDA 2,power,electricity-generation,31854.0,16.33,0.8245,41.5485
2024,0.3797,AGREDA,power,electricity-generation,28867.0,14.8,-1.9224,41.8559
2024,0.3747,GENSABON,power,electricity-generation,28475.0,14.6,-8.5075,43.3048
2024,0.3592,Michelin Aranda power station,power,electricity-generation,56174.0,29.3,-3.71,41.6629
2024,0.3592,GEMASA power station,power,electricity-generation,54610.0,28.0,-6.9039,37.1841
2024,0.3592,Pobla De Claramunt power station,power,electricity-generation,61350.0,33.6,1.6855,41.5519
2024,0.35151,Cristobal Colón power station,power,electricity-generation,170853.8,391.0,-6.943,37.2156
2024,0.3206,Bioetanol Galicia power station,power,electricity-generation,48760.0,25.0,-8.0233,43.1562
2024,0.3206,Martorell Seat power station,power,electricity-generation,48760.0,25.0,1.9013,41.4961
2024,0.3206,Sant Joan Mill power station,power,electricity-generation,48760.0,25.0,2.5162,42.2161
2024,0.3077,Navia (Prat) power station,power,electricity-generation,46810.0,24.0,-6.6944,43.5054
2024,0.2822,Ecocarburantes Españoles power station,power,electricity-generation,42908.0,22.0,-0.9233,37.5805
2024,0.2759,FERTIMOLINA,power,electricity-generation,20967.0,10.75,-1.8876,40.8436
2024,0.25,Álabe Villarrubia power station,power,electricity-generation,45674.0,25.85,-3.369,39.9856
2024,0.2486,Losan Pina power station,power,electricity-generation,42605.0,23.38,-2.0403,39.9952
2024,0.245,Cella Factory power station,power,electricity-generation,44114.0,24.8,-1.248,40.4568
2024,0.1922,Enercrisa power station,power,electricity-generation,36923.0,21.37,-3.1508,42.4838
2024,0.1744,OLEXTRA,power,electricity-generation,31303.0,17.57,1.3135,42.069
2024,0.1699,Figuruelas power station,power,electricity-generation,35090.0,20.94,-1.1802,41.752
2024,0.1686,COTASA,power,electricity-generation,25630.0,13.14,-0.2,40.0667
2024,0.136,COLORTEX,power,electricity-generation,24284.0,13.6,-0.6167,38.8167
2024,0.12651,Peninsular de Cogeneracion Mill power station,power,electricity-generation,105320.0,54.0,-3.7681,40.2709
